00b5a338	AIDebugShowPlansToggle()	"AIDebugShowPlansToggle()"	ds	1
00b5a36c	AIDebugShowBattlesToggle()	"AIDebugShowBattlesToggle()"	ds	1
00b5a3a4	AIDebugShowChatHistoryToggle()	"AIDebugShowChatHistoryToggle()"	ds	1
00b5a3e8	AIDebugShowOpportunitiesToggle()	"AIDebugShowOpportunitiesToggle()"	ds	1
00b5a444	AIDebugShowBasesToggle()	"AIDebugShowBasesToggle()"	ds	1
00b5a478	AIDebugTimedStatsToggle()	"AIDebugTimedStatsToggle()"	ds	1
00b5a4b0	AIDebugPastResourceNeedToggle()	"AIDebugPastResourceNeedToggle()"	ds	1
00b5a4fc	AIDebugToggleBPText()	"AIDebugToggleBPText()"	ds	1
00b5a554	AIDebugPopToggle()	"AIDebugPopToggle()"	ds	1
00b5a58c	AIDebugGathererToggle()	"AIDebugGathererToggle()"	ds	1
00b5a5dc	AIDebugOutputToggle()	"AIDebugOutputToggle()"	ds	1
00b5a96c	gadgetUnreal("	u"gadgetUnreal(\""	unicode	1
00b60b00	rmSetOcean(bool reveal): Sets whether or not to reveal oceans.	"rmSetOcean(bool reveal): Sets whether or not to reveal oceans."	ds	1
00b60b58	rmSetNuggetDifficulty(int minLevel, int maxLevel): Sets the min/max difficulty levels for placing nuggets.	"rmSetNuggetDifficulty(int minLevel, int maxLevel): Sets the min/max difficulty levels for placing nuggets."	ds	1
00b60be0	rmAddAreaCliffRandomWaypoints(int areaID, float endXFraction, float endZFraction, int count, float maxVariation): Adds random waypoints to the specified cliff valley area.	"rmAddAreaCliffRandomWaypoints(int areaID, float endXFraction, float endZFraction, int count, float maxVariation): Adds random waypoints to the specified cliff valley area."	ds	1
00b60cb0	rmAddAreaCliffWaypoint(int areaID, float xFraction, float zFraction): Adds the given waypoint to the specified cliff area (for valleys).	"rmAddAreaCliffWaypoint(int areaID, float xFraction, float zFraction): Adds the given waypoint to the specified cliff area (for valleys)."	ds	1
00b60d58	rmFindCloserArea(float xFraction, float zFraction, int area1, int area2): Returns which area is closer.	"rmFindCloserArea(float xFraction, float zFraction, int area1, int area2): Returns which area is closer."	ds	1
00b60e88	rmClearClosestPointConstraints(): Clears constraints for closest point finder.	"rmClearClosestPointConstraints(): Clears constraints for closest point finder."	ds	1
00b60ef8	rmAddClosestPointConstraint( int constraintID ): Adds constraint to closest point finder.	"rmAddClosestPointConstraint( int constraintID ): Adds constraint to closest point finder."	ds	1
00b60f70	rmEnableLocalWater( bool enable ): Enables / disables local water disturbances.	"rmEnableLocalWater( bool enable ): Enables / disables local water disturbances."	ds	1
00b60fd8	rmIsMapType( string type ): Returns true if the map belongs to the given type.	"rmIsMapType( string type ): Returns true if the map belongs to the given type."	ds	1
00b61038	rmSetMapType( string type ): Indicates that this map is of a certain type (it can be multiple types simultaneously.	"rmSetMapType( string type ): Indicates that this map is of a certain type (it can be multiple types simultaneously."	ds	1
00b61410	rmBuildTradeRoute(int tradeRouteID, string terrainTypeName): Builds the trade route with the given terrain type.	"rmBuildTradeRoute(int tradeRouteID, string terrainTypeName): Builds the trade route with the given terrain type."	ds	1
00b61498	rmGetTradeRouteWayPoint(int tradeRouteID, float fraction): Retrieves a waypoint along the trade route based on the fraction.	"rmGetTradeRouteWayPoint(int tradeRouteID, float fraction): Retrieves a waypoint along the trade route based on the fraction."	ds	1
00b61530	rmCreateTradeRouteWaypointsInArea(int tradeRouteID, int areaID, float length): Creates a trade route in the specified area.	"rmCreateTradeRouteWaypointsInArea(int tradeRouteID, int areaID, float length): Creates a trade route in the specified area."	ds	1
00b615d0	rmAddRandomTradeRouteWaypointsVector(int tradeRouteID, vector v, int count, float maxVariation): Adds random waypoints to the specified trade route.	"rmAddRandomTradeRouteWaypointsVector(int tradeRouteID, vector v, int count, float maxVariation): Adds random waypoints to the specified trade route."	ds	1
00b61690	rmAddRandomTradeRouteWaypoints(int tradeRouteID, float endXFraction, float endZFraction, int count, float maxVariation): Adds random waypoints to the specified trade route.	"rmAddRandomTradeRouteWaypoints(int tradeRouteID, float endXFraction, float endZFraction, int count, float maxVariation): Adds random waypoints to the specified trade route."	ds	1
00b61760	rmAddTradeRouteWaypointVector(int tradeRouteID, vector v): Adds the given waypoint to the specified trade route.	"rmAddTradeRouteWaypointVector(int tradeRouteID, vector v): Adds the given waypoint to the specified trade route."	ds	1
00b617f8	rmAddTradeRouteWaypoint(int tradeRouteID, float xFraction, float zFraction): Adds the given waypoint to the specified trade route.	"rmAddTradeRouteWaypoint(int tradeRouteID, float xFraction, float zFraction): Adds the given waypoint to the specified trade route."	ds	1
00b61894	rmCreateTradeRoute(): Creates a trade route.	"rmCreateTradeRoute(): Creates a trade route."	ds	1
00b61950	rmSetGroupingMaxDistance(int defID, float dist): Set the maximum distance for the grouping (in meters).	"rmSetGroupingMaxDistance(int defID, float dist): Set the maximum distance for the grouping (in meters)."	ds	1
00b619d8	rmSetGroupingMinDistance(int defID, float dist): Set the minimum distance for the grouping (in meters).	"rmSetGroupingMinDistance(int defID, float dist): Set the minimum distance for the grouping (in meters)."	ds	1
00b61a60	rmPlaceGroupingInArea(int groupingID, int playerID, int areaID, int placeCount): Place grouping for the player in the given area.	"rmPlaceGroupingInArea(int groupingID, int playerID, int areaID, int placeCount): Place grouping for the player in the given area."	ds	1
00b61cc8	rmCreateGrouping(string name, string filename): Creates a grouping.	"rmCreateGrouping(string name, string filename): Creates a grouping."	ds	1
00b61d20	rmSetIgnoreForceToGaia(bool val)	"rmSetIgnoreForceToGaia(bool val)"	ds	1
00b61d5c	rmDefineConstant(string name, int value)	"rmDefineConstant(string name, int value)"	ds	1
00b61d9c	rmGetUnitPlacedOfPlayer(int objectDefID, int playerID)	"rmGetUnitPlacedOfPlayer(int objectDefID, int playerID)"	ds	1
00b61dec	rmGetUnitPlaced(int objectDefID, int index)	"rmGetUnitPlaced(int objectDefID, int index)"	ds	1
00b61e28	rmGetNumberUnitsPlaced(int objectDefID)	"rmGetNumberUnitsPlaced(int objectDefID)"	ds	1
00b61e68	rmAddUnitsToArmy(int playerID, int armyID, int objectDefID)	"rmAddUnitsToArmy(int playerID, int armyID, int objectDefID)"	ds	1
00b61eb8	rmCreateArmy(int playerID, string armyName)	"rmCreateArmy(int playerID, string armyName)"	ds	1
00b61ef8	rmSetTriggerEffectParamArmy(string paramName, int playerID, int armyID, bool add)	"rmSetTriggerEffectParamArmy(string paramName, int playerID, int armyID, bool add)"	ds	1
00b61f68	rmSetTriggerEffectParamFloat(string paramName, float value, bool add)	"rmSetTriggerEffectParamFloat(string paramName, float value, bool add)"	ds	1
00b61fd0	rmSetTriggerEffectParamInt(string paramName, int value, bool add)	"rmSetTriggerEffectParamInt(string paramName, int value, bool add)"	ds	1
00b62030	rmSetTriggerEffectParam(string paramName, string value, bool add)	"rmSetTriggerEffectParam(string paramName, string value, bool add)"	ds	1
00b6208c	rmAddTriggerEffect(string effectType)	"rmAddTriggerEffect(string effectType)"	ds	1
00b620c8	rmSetTriggerConditionParamArmy(string paramName, int playerID, int armyID, bool add)	"rmSetTriggerConditionParamArmy(string paramName, int playerID, int armyID, bool add)"	ds	1
00b62140	rmSetTriggerConditionParamFloat(string paramName, float value, bool add)	"rmSetTriggerConditionParamFloat(string paramName, float value, bool add)"	ds	1
00b621b0	rmSetTriggerConditionParamInt(string paramName, int value, bool add)	"rmSetTriggerConditionParamInt(string paramName, int value, bool add)"	ds	1
00b62218	rmSetTriggerConditionParam(string paramName, string value, bool add)	"rmSetTriggerConditionParam(string paramName, string value, bool add)"	ds	1
00b6227c	rmAddTriggerCondition(string conditionType)	"rmAddTriggerCondition(string conditionType)"	ds	1
